CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
-1.84082E1,0E0
-1.84326E1,0E0
-1.83896E1,0E0
-1.83886E1,0E0
-1.84101E1,0E0
-1.83613E1,0E0
-1.82939E1,0E0
-1.81142E1,0E0
-1.79667E1,0E0
-1.79541E1,0E0
-1.78359E1,0E0
-1.76923E1,0E0
-1.75966E1,0E0
-1.76132E1,0E0
-1.76806E1,0E0
-1.75703E1,0E0
-1.74072E1,0E0
-1.74599E1,0E0
-1.74892E1,0E0
-1.74570E1,0E0
-1.72851E1,0E0
-1.71123E1,0E0
-1.71826E1,0E0
-1.7125E1,0E0
-1.68876E1,0E0
-1.67568E1,0E0
-1.67255E1,0E0
-1.68554E1,0E0
-1.69785E1,0E0
-1.68769E1,0E0
-1.69482E1,0E0
-1.70693E1,0E0
-1.69677E1,0E0
-1.67880E1,0E0
-1.66084E1,0E0
-1.65742E1,0E0
-1.66054E1,0E0
-1.64873E1,0E0
-1.64209E1,0E0
-1.65068E1,0E0
-1.65820E1,0E0
-1.65410E1,0E0
-1.63632E1,0E0
-1.62734E1,0E0
-1.63681E1,0E0
-1.63837E1,0E0
-1.63115E1,0E0
-1.61757E1,0E0
-1.61005E1,0E0
-1.61142E1,0E0
-1.60175E1,0E0
-1.57729E1,0E0
-1.56479E1,0E0
-1.56455E1,0E0
-1.57749E1,0E0
-1.57851E1,0E0
-1.56601E1,0E0
-1.56074E1,0E0
-1.55522E1,0E0
-1.54492E1,0E0
-1.52978E1,0E0
-1.50590E1,0E0
-1.49565E1,0E0
-1.49252E1,0E0
-1.48022E1,0E0
-1.46674E1,0E0
-1.44702E1,0E0
-1.43520E1,0E0
-1.43837E1,0E0
-1.43364E1,0E0
-1.42392E1,0E0
-1.41357E1,0E0
-1.40293E1,0E0
-1.39384E1,0E0
-1.37583E1,0E0
-1.35302E1,0E0
-1.34057E1,0E0
-1.32841E1,0E0
-1.31313E1,0E0
-1.30200E1,0E0
-1.29101E1,0E0
-1.28881E1,0E0
-1.27905E1,0E0
-1.25957E1,0E0
-1.24423E1,0E0
-1.24077E1,0E0
-1.24018E1,0E0
-1.23422E1,0E0
-1.20820E1,0E0
-1.18696E1,0E0
-1.16899E1,0E0
-1.16337E1,0E0
-1.16254E1,0E0
-1.14873E1,0E0
-1.13520E1,0E0
-1.13969E1,0E0
-1.14306E1,0E0
-1.13925E1,0E0
-1.11699E1,0E0
-1.09863E1,0E0
-1.10239E1,0E0
-1.10527E1,0E0
-1.09321E1,0E0
-1.07700E1,0E0
-1.06821E1,0E0
-1.07060E1,0E0
-1.06513E1,0E0
-1.05400E1,0E0
-1.05205E1,0E0
-1.05927E1,0E0
-1.06899E1,0E0
-1.07954E1,0E0
END
BEGIN
-4.36992E1,0E0
-4.32128E1,0E0
-4.24160E1,0E0
-4.15058E1,0E0
-4.04316E1,0E0
-3.88789E1,0E0
-3.78554E1,0E0
-3.69648E1,0E0
-3.60527E1,0E0
-3.54101E1,0E0
-3.47695E1,0E0
-3.41816E1,0E0
-3.37460E1,0E0
-3.31289E1,0E0
-3.26035E1,0E0
-3.21230E1,0E0
-3.15253E1,0E0
-3.10488E1,0E0
-3.07646E1,0E0
-3.04794E1,0E0
-3.01738E1,0E0
-2.97753E1,0E0
-2.94013E1,0E0
-2.92080E1,0E0
-2.89853E1,0E0
-2.86337E1,0E0
-2.82255E1,0E0
-2.77646E1,0E0
-2.75576E1,0E0
-2.73193E1,0E0
-2.69443E1,0E0
-2.66044E1,0E0
-2.63525E1,0E0
-2.62578E1,0E0
-2.62441E1,0E0
-2.59814E1,0E0
-2.58476E1,0E0
-2.58027E1,0E0
-2.57216E1,0E0
-2.55351E1,0E0
-2.52617E1,0E0
-2.50966E1,0E0
-2.49667E1,0E0
-2.48085E1,0E0
-2.45869E1,0E0
-2.43066E1,0E0
-2.41445E1,0E0
