CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME DATA
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
0.28152E-2,-9.90562E-2
-1.22070E-4,-1.02954E-1
-8.86535E-3,-1.10137E-1
-9.34600E-3,-1.09352E-1
-1.64947E-2,-1.09558E-1
-2.54516E-2,-1.01036E-1
-2.67028E-2,-1.08512E-1
-2.86407E-2,-1.14822E-1
-3.02810E-2,-1.14471E-1
-3.75747E-2,-1.16737E-1
-5.00183E-2,-1.11442E-1
-4.73403E-2,-1.07711E-1
-4.74395E-2,-1.12625E-1
-5.59692E-2,-1.05621E-1
-6.24389E-2,-9.78622E-2
-7.36236E-2,-9.79843E-2
-7.36618E-2,-9.80987E-2
-6.56127E-2,-1.00585E-1
-8.00628E-2,-9.25903E-2
-9.08660E-2,-9.15908E-2
-9.65499E-2,-9.88311E-2
-9.46960E-2,-9.00726E-2
-8.94317E-2,-8.57009E-2
-1.02821E-1,-8.73184E-2
-1.09016E-1,-7.93151E-2
-1.04133E-1,-8.15353E-2
-1.02317E-1,-7.56683E-2
-1.09703E-1,-7.14187E-2
-1.26197E-1,-6.70089E-2
-1.26892E-1,-6.19506E-2
-1.15928E-1,-5.73196E-2
-1.21215E-1,-5.13305E-2
-1.29005E-1,-4.22058E-2
-1.39587E-1,-4.34570E-2
-1.43539E-1,-4.50286E-2
-1.29341E-1,-3.88717E-2
-1.41357E-1,-4.33197E-2
-1.54686E-1,-2.42462E-2
-1.45408E-1,-1.66931E-2
-1.38755E-1,-1.06964E-2
-1.31629E-1,0.00106E-1
-1.36261E-1,0.00412E-1
-1.46461E-1,0.04783E-1
-1.39289E-1,0.09903E-1
-1.41731E-1,0.07576E-1
-1.57524E-1,0.20546E-1
-1.57882E-1,0.30715E-1
-1.49215E-1,0.30044E-1
-1.35360E-1,0.35766E-1
-1.37794E-1,0.38185E-1
-1.46919E-1,0.44632E-1
-1.43013E-1,0.44357E-1
-1.41059E-1,0.45463E-1
-1.39938E-1,0.57670E-1
-1.40342E-1,0.71235E-1
-1.41159E-1,0.78689E-1
-1.30233E-1,0.81687E-1
-1.20536E-1,7.54814E-2
-1.23939E-1,8.05969E-2
-1.31538E-1,0.85899E-1
-1.39648E-1,0.94947E-1
-1.28433E-1,1.07147E-1
-1.21845E-1,1.03298E-1
-1.26091E-1,1.08291E-1
-1.24828E-1,1.20037E-1
-1.12045E-1,1.19098E-1
-1.01898E-1,1.19998E-1
-9.98535E-2,1.14814E-1
-1.16111E-1,1.18461E-1
-1.15493E-1,1.33697E-1
-9.79614E-2,1.43058E-1
-8.61663E-2,1.59248E-1
-8.09173E-2,1.58226E-1
-8.84246E-2,1.54258E-1
-8.35723E-2,1.64459E-1
-7.00988E-2,1.66008E-1
-7.28454E-2,1.65824E-1
-7.86361E-2,1.74583E-1
-7.44247E-2,1.87652E-1
-5.36422E-2,2.01255E-1
-3.30810E-2,1.92794E-1
-3.25012E-2,1.76841E-1
-4.09545E-2,1.82716E-1
-3.82537E-2,1.92100E-1
-3.42865E-2,2.05276E-1
-1.94320E-2,2.19093E-1
-6.72912E-3,2.24006E-1
0.09346E-1,2.26005E-1
0.24765E-1,2.14637E-1
0.24673E-1,2.05497E-1
0.20576E-1,2.15049E-1
0.17234E-1,2.34817E-1
0.39596E-1,2.37274E-1
0.76767E-1,2.32559E-1
0.79315E-1,2.16156E-1
0.74203E-1,2.21603E-1
0.88790E-1,2.25280E-1
1.07864E-1,2.19436E-1
1.18881E-1,2.10891E-1
1.14517E-1,2.12814E-1
1.19430E-1,2.27554E-1
1.62994E-1,2.32482E-1
1.88949E-1,2.02987E-1
1.87210E-1,2.08038E-1
1.68335E-1,1.92627E-1
1.65664E-1,1.78756E-1
1.94625E-1,1.87377E-1
2.21344E-1,1.82128E-1
2.19177E-1,1.64032E-1
2.18475E-1,1.58569E-1
2.38754E-1,1.61987E-1
2.72766E-1,1.38961E-1
2.66769E-1,0.93200E-1
2.45910E-1,0.90881E-1
2.56134E-1,1.13250E-1
2.80181E-1,1.11679E-1
2.94967E-1,0.87493E-1
3.04550E-1,0.56610E-1
2.98324E-1,0.33584E-1
2.94708E-1,0.18951E-1
2.86544E-1,0.11077E-1
2.83660E-1,0.22155E-1
END
BEGIN
-3.78370E-4,6.33072E-3
0.17523E-3,5.09762E-3
-3.51429E-4,7.15589E-3
0.49400E-3,8.57973E-3
1.99890E-3,9.15908E-3
3.01075E-3,1.16763E-2
5.1651E-3,1.21650E-2
6.06823E-3,1.37910E-2
0.71792E-2,1.63211E-2
7.12204E-3,1.47132E-2
0.71325E-2,1.61094E-2
1.04122E-2,1.65233E-2
1.14536E-2,1.67064E-2
1.22890E-2,1.84326E-2
1.54609E-2,1.86138E-2
1.67655E-2,1.89590E-2
2.07920E-2,1.70764E-2
2.24208E-2,1.48220E-2
2.11448E-2,1.95179E-2
2.47955E-2,2.14443E-2
2.64549E-2,1.89323E-2
2.40898E-2,1.85775E-2
2.63328E-2,1.79138E-2
2.90756E-2,1.83868E-2
3.23257E-2,1.81217E-2
3.54633E-2,1.60064E-2
3.51963E-2,1.51042E-2
3.61690E-2,1.43985E-2
3.81393E-2,1.33037E-2
4.24118E-2,1.25808E-2
4.97474E-2,0.38261E-2
4.34112E-2,0.56343E-2
4.57592E-2,1.14097E-2
5.07202E-2,1.06201E-2
5.11455E-2,0.15010E-2
4.92706E-2,-4.79507E-3
4.76989E-2,0.24719E-2
4.98886E-2,0.74443E-2
5.40885E-2,-1.21116E-3
5.23014E-2,-4.77600E-3
5.33676E-2,-6.16264E-3
5.40237E-2,-8.12530E-3
5.67493E-2,-9.40322E-3
5.79471E-2,-1.36432E-2
5.52978E-2,-1.61876E-2
5.69305E-2,-1.92737E-2
5.50594E-2,-2.29473E-2
6.05182E-2,-2.15148E-2
6.41250E-2,-2.39601E-2
5.92193E-2,-2.81486E-2
5.85918E-2,-2.61859E-2
6.27975E-2,-3.08380E-2
6.07948E-2,-3.71437E-2
5.81035E-2,-4.02011E-2
5.45654E-2,-3.94554E-2
5.73558E-2,-3.70044E-2
6.30149E-2,-4.63981E-2
5.52082E-2,-5.60436E-2
5.10864E-2,-5.48915E-2
5.15632E-2,-5.30185E-2
5.67646E-2,-5.20191E-2
6.72340E-2,-5.99823E-2
5.81550E-2,-7.41615E-2
4.62722E-2,-6.74171E-2
4.90684E-2,-6.14280E-2
4.90341E-2,-6.61773E-2
5.22728E-2,-7.77397E-2
4.09507E-2,-8.40034E-2
2.82402E-2,-7.08160E-2
3.59268E-2,-7.42797E-2
4.00009E-2,-8.84285E-2
3.21312E-2,-9.87243E-2
2.15911E-2,-9.54322E-2
1.90277E-2,-8.80584E-2
2.52304E-2,-9.02786E-2
2.20871E-2,-1.01326E-1
1.49574E-2,-1.02764E-1
1.14250E-2,-1.05289E-1
0.8461E-2,-1.03889E-1
0.98953E-2,-9.75265E-2
0.39558E-2,-1.06666E-1
-8.43048E-3,-1.04160E-1
-4.68826E-3,-1.02611E-1
-6.56890E-3,-1.07254E-1
-1.23786E-2,-1.10218E-1
-2.88925E-2,-1.15257E-1
-4.15420E-2,-1.09085E-1
-2.98385E-2,-1.03836E-1
-3.56521E-2,-1.14517E-1
-4.77829E-2,-1.21528E-1
-5.04379E-2,-1.18888E-1
-5.42144E-2,-1.09008E-1
-4.87518E-2,-1.02981E-1
-5.22003E-2,-1.14173E-1
-7.39898E-2,-1.11961E-1
-7.80181E-2,-9.53064E-2
-7.11364E-2,-9.28039E-2
-6.82144E-2,-9.97695E-2
-8.37707E-2,-1.09504E-1
-1.15036E-1,-9.20562E-2
-1.05506E-1,-7.07092E-2
-9.44747E-2,-8.23135E-2
-1.02607E-1,-9.30557E-2
-1.08543E-1,-9.45892E-2
-1.27861E-1,-7.89337E-2
-1.16996E-1,-6.47506E-2
-1.05613E-1,-7.40585E-2
-1.21429E-1,-7.62176E-2
-1.36535E-1,-5.94711E-2
-1.27952E-1,-4.26712E-2
-1.15844E-1,-4.10461E-2
-1.17225E-1,-5.44586E-2
-1.43386E-1,-5.13153E-2
-1.43478E-1,-1.93176E-2
-1.35208E-1,-1.42974E-2
-1.31774E-1,-2.42157E-2
-1.37519E-1,-2.78930E-2
-1.57928E-1,-1.34964E-2
-1.49047E-1,0.07751E-1
-1.30981E-1,-1.83105E-4
-1.36482E-1,-9.35363E-3
-1.44668E-1,-2.54821E-3
-1.45164E-1,0.12908E-1
-1.43249E-1,0.28900E-1
-1.28021E-1,0.26580E-1
-1.36306E-1,0.20546E-1
-1.45935E-1,0.33828E-1
-1.38320E-1,0.45761E-1
-1.34002E-1,0.47523E-1
-1.32392E-1,0.40214E-1
-1.40670E-1,0.37643E-1
-1.49963E-1,0.58303E-1
-1.33270E-1,0.65315E-1
-1.27677E-1,0.55282E-1
-1.32553E-1,0.58471E-1
-1.35482E-1,0.71167E-1
-1.26266E-1,0.83778E-1
-1.10408E-1,7.59162E-2
-1.16333E-1,6.37550E-2
-1.37039E-1,0.75256E-1
-1.38954E-1,1.02493E-1
-1.23279E-1,1.15203E-1
-1.18427E-1,1.02840E-1
-1.13163E-1,9.0271E-2
-1.24832E-1,1.06548E-1
-1.24939E-1,1.29074E-1
-1.07292E-1,1.32331E-1
-9.92202E-2,1.23477E-1
-1.08776E-1,1.22558E-1
-1.23939E-1,1.41647E-1
-1.0569E-1,1.58401E-1
-8.21838E-2,1.4991E-1
-8.45108E-2,1.42654E-1
-8.96987E-2,1.56532E-1
-9.47647E-2,1.72180E-1
-7.61032E-2,1.84043E-1
-6.13327E-2,1.73851E-1
-6.63375E-2,1.73202E-1
-7.19299E-2,1.90795E-1
-7.10601E-2,2.02667E-1
-5.35430E-2,2.08183E-1
-3.80325E-2,2.02873E-1
-3.97033E-2,2.07763E-1
-2.95562E-2,2.21260E-1
-1.28173E-2,2.16423E-1
-1.14746E-2,2.09953E-1
-1.37329E-2,2.20405E-1
-6.37817E-3,2.46490E-1
0.13244E-1,2.57598E-1
0.34698E-1,2.24441E-1
0.62744E-1,2.15606E-1
0.63201E-1,2.29385E-1
0.56549E-1,2.41668E-1
0.67596E-1,2.41851E-1
0.94360E-1,2.28515E-1
0.97168E-1,2.21221E-1
1.02218E-1,2.39349E-1
1.37817E-1,2.47940E-1
1.72439E-1,2.11486E-1
1.67312E-1,1.75430E-1
1.57897E-1,1.88568E-1
1.37908E-1,2.09762E-1
1.74285E-1,1.94198E-1
2.06054E-1,1.79016E-1
2.10189E-1,1.73660E-1
2.01599E-1,1.68121E-1
2.06436E-1,1.70654E-1
2.30346E-1,1.56341E-1
2.47009E-1,1.31195E-1
2.44003E-1,1.26724E-1
2.29995E-1,1.28143E-1
2.44186E-1,1.27899E-1
2.69882E-1,1.04858E-1
2.74734E-1,0.80764E-1
2.66143E-1,0.78964E-1
2.72445E-1,0.68756E-1
2.81997E-1,0.47439E-1
2.77221E-1,0.21087E-1
2.59948E-1,0.19683E-1
2.69607E-1,0.30471E-1
2.89428E-1,0.18798E-1
END
BEGIN
1.01336E0,-1.60217E-1
9.21752E-1,-7.71484E-2
9.46655E-1,-2.33337E-1
1.01647E0,-4.22058E-1
8.85833E-1,-4.31243E-1
9.70062E-1,-4.76257E-1
8.94409E-1,-5.85235E-1
8.17993E-1,-6.41449E-1
8.19152E-1,-7.37487E-1
6.71661E-1,-7.37121E-1
7.04711E-1,-6.74499E-1
5.81939E-1,-8.27850E-1
4.97741E-1,-8.4729E-1
4.54101E-1,-8.81042E-1
3.59039E-1,-9.37286E-1
3.11065E-1,-9.33227E-1
1.48559E-1,-1.01190E0
0.02441E-1,-9.85809E-1
0.89508E-1,-9.94598E-1
0.19897E-1,-1.06756E0
-5.70068E-2,-9.93530E-1
-1.07421E-1,-9.83520E-1
-1.87866E-1,-9.83642E-1
-2.35046E-1,-9.35424E-1
-2.90466E-1,-9.30542E-1
-3.74267E-1,-9.31274E-1
-4.22607E-1,-9.03137E-1
-4.99450E-1,-8.51928E-1
-5.43762E-1,-7.92419E-1
-5.89721E-1,-7.82959E-1
-8.22937E-1,-7.37793E-1
-7.35290E-1,-6.72668E-1
-7.01721E-1,-6.61377E-1
-7.64343E-1,-6.19567E-1
-8.79455E-1,-5.44860E-1
-9.39941E-1,-4.30542E-1
-8.30078E-1,-4.74487E-1
-8.09936E-1,-4.93713E-1
-9.19189E-1,-3.46008E-1
-9.05639E-1,-2.85888E-1
-9.47692E-1,-2.38281E-1
-9.59472E-1,-1.39343E-1
-9.51232E-1,-9.63134E-2
-9.85717E-1,-4.52270E-2
-9.71801E-1,0.18127E-1
-9.77722E-1,0.97351E-1
-9.10644E-1,2.10632E-1
-9.57183E-1,1.9104E-1
-1.03656E0,2.09777E-1
-9.49005E-1,3.16284E-1
-8.78997E-1,3.29101E-1
-8.80859E-1,3.95202E-1
-8.44360E-1,4.54711E-1
-8.36425E-1,5.06927E-1
-7.65686E-1,5.57586E-1
-7.14141E-1,5.70220E-1
-7.17681E-1,6.61956E-1
-6.54205E-1,7.11029E-1
-6.24511E-1,7.35626E-1
-5.89721E-1,8.01116E-1
-5.16845E-1,8.20892E-1
-5.37170E-1,8.41369E-1
-4.61975E-1,8.99749E-1
-3.54095E-1,8.88366E-1
-2.99896E-1,9.11285E-1
-2.47985E-1,9.32617E-1
-2.26318E-1,9.57336E-1
-1.17126E-1,9.62280E-1
0.17852E-1,8.47930E-1
0.34576E-1,9.09912E-1
0.99487E-1,9.66461E-1
1.51184E-1,9.63684E-1
2.58056E-1,9.46289E-1
3.49548E-1,8.91174E-1
3.34472E-1,9.02893E-1
4.14550E-1,8.89465E-1
4.64172E-1,8.35998E-1
5.56396E-1,8.23059E-1
6.00952E-1,7.58667E-1
5.41870E-1,7.12402E-1
6.21582E-1,7.00805E-1
7.28332E-1,6.00219E-1
7.5177E-1,5.5896E-1
7.91015E-1,4.83154E-1
7.80151E-1,4.23461E-1
8.75427E-1,3.70605E-1
9.70581E-1,2.47985E-1
9.25170E-1,2.11486E-1
9.29870E-1,1.68762E-1
9.38110E-1,0.87951E-1
9.82055E-1,0.38696E-1
9.99267E-1,-6.88476E-2
9.05029E-1,-1.14563E-1
9.01458E-1,-1.45202E-1
9.00024E-1,-2.69805E-1
8.58825E-1,-3.56384E-1
8.40393E-1,-3.94226E-1
7.83905E-1,-4.29443E-1
7.73590E-1,-4.88006E-1
7.18994E-1,-6.41571E-1
6.40594E-1,-6.69128E-1
6.52618E-1,-6.76483E-1
5.86853E-1,-7.45422E-1
5.31097E-1,-7.68341E-1
4.64965E-1,-8.51501E-1
4.02954E-1,-8.34533E-1
3.85437E-1,-7.86041E-1
3.11065E-1,-8.55041E-1
2.33642E-1,-9.06860E-1
1.64825E-1,-9.03167E-1
0.80841E-1,-8.89770E-1
0.41870E-1,-8.70391E-1
-4.44030E-2,-9.24072E-1
-1.54663E-1,-9.16503E-1
-1.59912E-1,-8.95446E-1
-2.04956E-1,-8.83422E-1
-2.69531E-1,-8.63159E-1
-3.67248E-1,-8.97216E-1
-4.34631E-1,-8.37402E-1
-4.14245E-1,-7.90771E-1
-4.72045E-1,-7.89794E-1
-5.34729E-1,-7.27356E-1
-5.57983E-1,-7.00195E-1
-6.20422E-1,-6.57226E-1
-6.39282E-1,-5.91430E-1
-6.83776E-1,-5.74951E-1
-7.48046E-1,-5.36987E-1
-7.68310E-1,-4.81445E-1
-8.05175E-1,-4.26940E-1
-8.21777E-1,-3.63769E-1
-8.48632E-1,-3.59375E-1
-9.12536E-1,-3.07617E-1
-8.66577E-1,-2.32849E-1
-8.35998E-1,-1.99340E-1
-8.88122E-1,-1.35314E-1
-9.09545E-1,-8.36792E-2
-9.12963E-1,-2.67639E-2
-8.69781E-1,0.25787E-1
-8.68499E-1,0.625E-1
-9.00512E-1,1.52252E-1
-8.72924E-1,2.12158E-1
-8.69781E-1,2.41333E-1
-8.46313E-1,3.05236E-1
-8.32336E-1,3.43170E-1
-8.35479E-1,4.09301E-1
-7.89032E-1,4.59716E-1
-7.47833E-1,4.77294E-1
-7.27478E-1,5.25634E-1
-7.23083E-1,5.66467E-1
-7.20672E-1,6.01989E-1
-6.08886E-1,6.45660E-1
-5.61218E-1,6.50085E-1
-5.35644E-1,7.08618E-1
-4.81323E-1,7.66632E-1
-4.32586E-1,7.76153E-1
-3.76586E-1,8.04351E-1
-3.22052E-1,8.15826E-1
-2.88238E-1,8.36517E-1
-2.29400E-1,8.64715E-1
-1.82769E-1,8.58703E-1
-1.3974E-1,8.75518E-1
-6.59179E-2,8.78265E-1
-2.50854E-2,8.78112E-1
0.50109E-1,8.79791E-1
1.20452E-1,8.48968E-1
1.67663E-1,8.46862E-1
2.45971E-1,8.41918E-1
3.07922E-1,8.13537E-1
3.29223E-1,7.71911E-1
3.53698E-1,7.15820E-1
4.60144E-1,7.22595E-1
5.51818E-1,6.95068E-1
5.63659E-1,6.33606E-1
5.77514E-1,5.95764E-1
6.32934E-1,5.49682E-1
6.63452E-1,4.92919E-1
7.01416E-1,4.44946E-1
7.25585E-1,3.74328E-1
7.37609E-1,3.18542E-1
7.71606E-1,2.54638E-1
7.86804E-1,1.96228E-1
8.04534E-1,1.30096E-1
7.99255E-1,-4.60815E-3
7.90832E-1,-2.92358E-2
8.32458E-1,-5.17578E-2
8.24859E-1,-1.3974E-1
7.78991E-1,-2.10571E-1
7.50854E-1,-2.72522E-1
7.37731E-1,-3.46679E-1
7.13195E-1,-4.13330E-1
6.61499E-1,-4.73877E-1
6.20117E-1,-5.15197E-1
5.71746E-1,-5.76049E-1
5.09246E-1,-6.25671E-1
4.53247E-1,-6.62200E-1
